,Year,Player,GS,MP,PER,TRB%,AST%,STL%,BLK%,TOV%,WS,FG%,3P%,2P%,FTA,FT%,PTS,mvp,height,weight,years_played,"
328,2017,Meyers Leonard,12,1222,8.9,10.7,8.4,0.5,1.8,8.1,1.4,0.386,0.34700000000000003,0.436,40.0,0.875,401,Not MVP,216.0,111.0,5,"$9,904,495"
329,2017,Michael Beasley,6,935,17.8,12.0,9.9,1.5,2.5,12.7,1.8,0.532,0.419,0.545,105.0,0.743,528,Not MVP,206.0,106.0,9,"$2,116,955"
330,2017,Michael Carter-Williams,19,846,9.9,9.7,20.0,2.3,2.2,16.3,0.2,0.366,0.23399999999999999,0.401,77.0,0.753,297,Not MVP,198.0,86.0,4,"$2,700,000"
331,2017,Michael Gbinije,0,32,-2.1,5.1,7.9,0.0,0.0,0.0,-0.1,0.1,0.0,0.16699999999999998,2.0,1.0,4,Not MVP,201.0,90.0,1,"$500,000"
332,2017,Michael Kidd-Gilchrist,81,2349,14.3,13.2,7.4,1.7,2.9,7.4,5.8,0.47700000000000004,0.111,0.483,194.0,0.784,743,Not MVP,201.0,105.0,5,"$13,000,000"
333,2017,Mike Conley,68,2292,23.2,6.0,34.5,2.1,0.8,11.8,10.0,0.46,0.408,0.49700000000000005,368.0,0.8590000000000001,1415,Not MVP,185.0,79.0,10,"$28,530,608"
334,2017,Mike Dunleavy,4,1682,9.866666667,7.5,8.533333333,0.8666666670000001,0.666666667,10.66666667,1.0,0.420333333,0.392,0.46766666700000004,30.0,0.794333333,550,Not MVP,190.0,81.0,26,"$1,600,000"
336,2017,Mike Muscala,3,1237,14.4,10.7,11.9,1.2,2.8,13.1,3.4,0.504,0.418,0.546,64.0,0.7659999999999999,435,Not MVP,211.0,108.0,4,"$5,000,000"
337,2017,Mike Scott,0,195,5.9,10.4,12.5,1.0,1.3,11.3,-0.1,0.28800000000000003,0.14800000000000002,0.406,8.0,0.875,45,Not MVP,203.0,107.0,5,"$1,709,538"
340,2017,Mindaugas Kuzminskas,5,1016,12.4,6.7,10.3,1.4,0.9,11.3,1.2,0.428,0.321,0.517,68.0,0.809,425,Not MVP,206.0,97.0,1,"$3,028,410"
341,2017,Mirza Teletovic,2,1133,8.8,8.3,6.4,0.5,1.0,7.8,0.6,0.373,0.341,0.46,45.0,0.778,451,Not MVP,206.0,109.0,5,"$10,500,000"
342,2017,Monta Ellis,33,1998,10.0,5.7,17.2,2.0,1.2,18.0,1.1,0.44299999999999995,0.319,0.483,128.0,0.727,630,Not MVP,190.0,83.0,12,"$2,245,400"
343,2017,Montrezl Harrell,14,1064,19.2,11.2,9.6,0.9,3.2,9.9,4.1,0.652,0.14300000000000002,0.6629999999999999,121.0,0.628,527,Not MVP,203.0,108.0,2,"$1,471,382"
344,2017,Myles Turner,81,2541,18.5,13.0,6.6,1.5,6.0,9.5,8.0,0.511,0.348,0.536,303.0,0.809,1173,Not MVP,211.0,110.0,2,"$2,483,040"
345,2017,Nemanja Bjelica,1,1190,11.0,12.0,9.6,1.7,1.4,13.4,1.5,0.424,0.316,0.531,61.0,0.738,403,Not MVP,208.0,108.0,2,"$3,950,000"
347,2017,Nerlens Noel,38,2094,20.36666667,16.0,8.033333333,3.066666667,4.166666667,12.46666667,2.666666667,0.593666667,0.0,0.595666667,74.0,0.695,890,Not MVP,211.0,103.0,3,"$4,187,599"
348,2017,Nick Collison,0,128,12.8,13.0,13.2,0.8,1.2,13.1,0.4,0.609,0.0,0.636,8.0,0.625,33,Not MVP,208.0,115.0,13,"$2,328,652"
349,2017,Nick Young,60,1556,14.1,4.8,5.8,1.2,0.7,5.1,3.2,0.43,0.40399999999999997,0.48100000000000004,90.0,0.856,791,Not MVP,201.0,95.0,10,"$5,192,000"
350,2017,Nicolas Batum,77,2617,15.8,10.1,27.6,1.6,1.0,15.0,4.5,0.40299999999999997,0.33299999999999996,0.45299999999999996,284.0,0.856,1164,Not MVP,203.0,90.0,9,"$22,434,783"
351,2017,Nicolas Brussino,2,521,10.7,10.6,13.9,1.7,1.4,14.7,0.6,0.369,0.305,0.5,22.0,0.773,150,Not MVP,201.0,88.0,1,"$393,041"
353,2017,Nik Stauskas,27,2188,9.0,5.7,12.9,1.0,1.2,15.5,1.4,0.396,0.368,0.433,150.0,0.813,756,Not MVP,198.0,92.0,3,"$3,807,146"
354,2017,Nikola Jokic,59,2038,26.4,19.5,28.8,1.5,2.1,15.2,9.7,0.578,0.324,0.628,228.0,0.825,1221,Not MVP,208.0,113.0,2,"$1,471,382"
355,2017,Nikola Mirotic,15,1679,14.5,12.3,6.9,1.6,2.7,10.4,3.8,0.413,0.342,0.52,128.0,0.773,744,Not MVP,208.0,99.0,3,"$12,500,000"
356,2017,Nikola Vucevic,55,2163,19.1,19.6,16.9,1.8,2.8,9.6,4.0,0.46799999999999997,0.307,0.48100000000000004,160.0,0.669,1096,Not MVP,213.0,117.0,6,"$12,250,000"
357,2017,Noah Vonleh,41,1265,10.8,17.0,3.4,1.2,1.7,17.1,1.8,0.48100000000000004,0.35,0.49200000000000005,94.0,0.638,327,Not MVP,208.0,108.0,3,"$4,031,018"
358,2017,Norman Powell,18,1368,14.0,6.9,9.3,1.9,0.9,10.8,2.8,0.449,0.324,0.514,159.0,0.792,636,Not MVP,193.0,97.0,2,"$1,471,382"
360,2017,Okaro White,0,471,7.5,9.6,6.0,1.1,1.7,15.7,0.6,0.379,0.353,0.396,22.0,0.909,98,Not MVP,203.0,92.0,1,"$1,460,927"
362,2017,Omri Casspi,4,1286,9.65,8.225,6.375,1.525,0.35,15.775,0.25,0.49075,0.35700000000000004,0.54275,14.5,0.594,372,Not MVP,206.0,102.0,8,"$2,106,470"
363,2017,Otto Porter,80,2605,17.3,11.1,6.7,2.2,1.3,4.8,9.4,0.516,0.434,0.5760000000000001,119.0,0.8320000000000001,1075,Not MVP,203.0,89.0,4,"$24,773,250"
365,2017,Pascal Siakam,38,859,11.5,12.2,2.9,1.5,4.5,13.1,1.6,0.502,0.14300000000000002,0.515,32.0,0.688,229,Not MVP,206.0,104.0,1,"$1,312,611"
366,2017,Pat Connaughton,1,316,11.8,9.1,12.7,0.9,0.5,18.3,0.6,0.514,0.515,0.513,9.0,0.778,98,Not MVP,196.0,93.0,2,"$1,471,382"
368,2017,Patrick Beverley,67,2058,13.0,10.4,18.8,2.3,1.0,14.6,5.3,0.42,0.382,0.46299999999999997,95.0,0.768,639,Not MVP,185.0,83.0,5,"$5,513,514"
369,2017,Patrick McCaw,20,1074,8.6,5.2,9.0,1.4,1.1,12.1,1.7,0.433,0.33299999999999996,0.5329999999999999,37.0,0.784,282,Not MVP,201.0,83.0,1,"$1,312,611"
370,2017,Patrick Patterson,8,1599,10.8,10.3,6.6,1.3,1.2,8.5,3.3,0.401,0.37200000000000005,0.45799999999999996,60.0,0.7170000000000001,445,Not MVP,206.0,104.0,7,"$5,192,000"
372,2017,Pau Gasol,39,1627,20.2,17.4,14.7,0.8,3.5,10.6,6.4,0.502,0.5379999999999999,0.494,184.0,0.7070000000000001,792,Not MVP,213.0,113.0,16,"$16,000,000"
373,2017,Paul George,75,2689,20.2,10.3,16.1,2.2,0.9,12.6,7.1,0.461,0.39299999999999996,0.501,374.0,0.898,1775,Not MVP,206.0,99.0,7,"$19,300,000"
374,2017,Paul Millsap,67,2343,17.8,12.5,17.9,1.9,2.3,12.1,6.4,0.442,0.311,0.486,405.0,0.768,1246,Not MVP,203.0,111.0,11,"$30,769,231"
375,2017,Paul Pierce,7,277,5.7,9.7,5.0,0.7,1.5,17.4,0.1,0.4,0.349,0.48100000000000004,13.0,0.769,81,Not MVP,201.0,106.0,19,"$3,679,840"
376,2017,Paul Zipser,18,843,6.9,8.0,6.1,0.9,1.5,14.4,0.5,0.39799999999999996,0.33299999999999996,0.451,40.0,0.775,240,Not MVP,203.0,97.0,1,"$1,312,611"
378,2017,Quincy Acy,2,1116,7.833333333,10.6,3.433333333,0.833333333,1.4,9.7,0.6333333329999999,0.377,0.329333333,0.409,40.0,0.723666667,444,Not MVP,201.0,108.0,5,"$1,709,538"
379,2017,Quinn Cook,0,376,11.33333333,2.066666667,23.06666667,1.033333333,0.0,16.73333333,0.133333333,0.492333333,0.42666666700000005,0.5489999999999999,3.333333333,0.35566666700000005,158,Not MVP,188.0,83.0,1,"$175,000"
381,2017,Rajon Rondo,42,1843,13.6,10.4,37.0,2.7,0.5,22.4,2.3,0.408,0.376,0.418,50.0,0.6,538,Not MVP,185.0,84.0,11,"$6,300,000"
383,2017,Ramon Sessions,1,811,12.3,4.9,24.2,1.6,0.3,12.7,0.9,0.38,0.33899999999999997,0.39299999999999996,118.0,0.7709999999999999,312,Not MVP,190.0,86.0,10,"$2,986,463"
385,2017,Rashad Vaughn,2,458,7.8,6.2,7.4,2.1,1.9,8.1,0.0,0.365,0.321,0.413,5.0,0.4,142,Not MVP,198.0,91.0,2,"$2,338,653"
386,2017,Raul Neto,0,346,10.7,5.0,15.1,3.2,1.2,13.6,0.7,0.451,0.32299999999999995,0.517,9.0,0.889,100,Not MVP,185.0,81.0,2,"$1,471,382"
387,2017,Raymond Felton,11,1700,10.9,7.1,16.3,2.0,1.1,13.3,2.0,0.43,0.319,0.473,64.0,0.7809999999999999,538,Not MVP,185.0,92.0,12,"$2,328,652"
388,2017,Reggie Bullock,5,467,11.7,7.5,8.8,1.9,0.5,7.1,1.0,0.42200000000000004,0.384,0.473,7.0,0.7140000000000001,141,Not MVP,201.0,92.0,4,"$2,500,000"
389,2017,Reggie Jackson,50,1424,14.9,4.3,30.3,1.2,0.3,13.4,1.9,0.419,0.359,0.442,136.0,0.868,752,Not MVP,190.0,94.0,6,"$16,000,000"
391,2017,Richard Jefferson,13,1614,8.2,6.9,6.6,0.8,0.5,11.8,2.1,0.446,0.33299999999999996,0.58,108.0,0.741,448,Not MVP,201.0,105.0,16,"$4,828,652"
392,2017,Richaun Holmes,17,1193,18.6,14.4,8.3,1.7,3.7,10.7,3.7,0.5579999999999999,0.35100000000000003,0.606,103.0,0.6990000000000001,559,Not MVP,208.0,111.0,2,"$1,471,382"
393,2017,Ricky Rubio,75,2469,16.8,7.2,38.9,2.6,0.3,20.1,6.1,0.402,0.306,0.44299999999999995,285.0,0.8909999999999999,836,Not MVP,193.0,87.0,6,"$14,100,000"
394,2017,Robert Covington,67,2119,13.2,11.3,7.5,2.9,2.6,13.9,3.1,0.39899999999999997,0.33299999999999996,0.484,174.0,0.8220000000000001,864,Not MVP,206.0,97.0,4,"$16,698,103"
395,2017,Robin Lopez,81,2271,14.4,12.3,5.6,0.4,4.1,9.9,4.3,0.493,0.0,0.494,104.0,0.721,839,Not MVP,213.0,115.0,9,"$13,788,500"
396,2017,Rodney Hood,55,1593,12.4,7.3,10.1,1.3,0.6,8.3,2.6,0.408,0.371,0.44,115.0,0.7829999999999999,748,Not MVP,203.0,93.0,3,"$2,386,864"
397,2017,Rodney McGruder,65,1966,9.1,7.2,8.8,1.2,0.7,10.2,2.9,0.413,0.332,0.488,71.0,0.62,497,Not MVP,193.0,92.0,1,"$1,312,611"
399,2017,Ron Baker,13,857,7.5,6.2,17.3,2.0,0.8,19.2,-0.1,0.37799999999999995,0.267,0.45,43.0,0.6509999999999999,215,Not MVP,193.0,99.0,1,"$4,328,000"
400,2017,Rondae Hollis-Jefferson,50,1761,13.7,13.6,13.4,2.2,1.9,15.1,2.6,0.434,0.22399999999999998,0.46299999999999997,253.0,0.7509999999999999,675,Not MVP,201.0,99.0,2,"$1,674,078"
401,2017,Ronnie Price,0,134,5.9,4.5,16.9,3.9,0.6,10.4,0.0,0.16699999999999998,0.17600000000000002,0.14300000000000002,4.0,0.75,14,Not MVP,188.0,86.0,12,"$2,442,455"
403,2017,Rudy Gay,30,1013,17.9,10.8,13.9,2.2,2.3,12.8,1.8,0.455,0.37200000000000005,0.483,138.0,0.855,562,Not MVP,203.0,104.0,11,"$8,406,000"
404,2017,Rudy Gobert,81,2744,23.3,21.8,5.7,0.9,6.4,15.1,14.3,0.662,0.0,0.6629999999999999,476.0,0.653,1137,Not MVP,216.0,111.0,4,"$21,224,719"
405,2017,Ryan Anderson,72,2116,13.5,8.5,4.7,0.7,0.5,6.2,5.2,0.418,0.40299999999999997,0.446,150.0,0.86,979,Not MVP,208.0,108.0,9,"$19,578,455"
407,2017,Salah Mejri,11,905,14.8,19.8,2.4,1.8,6.1,19.6,3.0,0.642,0.33299999999999996,0.649,61.0,0.59,213,Not MVP,216.0,111.0,2,"$1,471,382"
408,2017,Sam Dekker,2,1419,13.0,10.9,7.7,1.3,1.2,8.2,3.1,0.473,0.321,0.591,68.0,0.5589999999999999,504,Not MVP,206.0,104.0,2,"$1,794,600"
410,2017,Sean Kilpatrick,24,1754,13.1,8.4,14.6,1.2,0.3,13.9,1.4,0.415,0.341,0.46799999999999997,242.0,0.843,919,Not MVP,193.0,95.0,3,"$4,774,445"
412,2017,Serge Ibaka,158,4844,15.9,12.26666667,4.8,0.7666666670000001,4.166666667,9.7,3.4,0.47566666700000004,0.39233333299999995,0.516,83.33333333,0.8613333329999999,2346,Not MVP,208.0,106.0,8,"$20,061,729"
414,2017,Seth Curry,42,2029,15.5,5.1,15.9,2.0,0.3,11.0,4.6,0.48100000000000004,0.425,0.528,100.0,0.85,898,Not MVP,188.0,83.0,4,"$3,028,410"
415,2017,Shabazz Muhammad,1,1516,14.9,8.5,3.7,0.7,0.3,7.6,2.7,0.48200000000000004,0.336,0.529,190.0,0.774,772,Not MVP,198.0,101.0,4,"$1,924,755"
416,2017,Shabazz Napier,2,512,13.6,6.6,19.5,3.1,0.3,16.7,0.6,0.39899999999999997,0.37,0.429,49.0,0.7759999999999999,218,Not MVP,185.0,79.0,3,"$2,361,359"
417,2017,Shaun Livingston,3,1345,10.1,6.2,13.5,1.4,1.2,15.1,2.6,0.547,0.33299999999999996,0.55,60.0,0.7,389,Not MVP,201.0,87.0,12,"$7,692,308"
420,2017,Shelvin Mack,9,1205,10.9,6.1,20.4,1.8,0.2,17.8,1.4,0.446,0.308,0.51,77.0,0.688,430,Not MVP,190.0,92.0,6,"$6,000,000"
421,2017,Skal Labissiere,12,612,16.8,15.3,7.5,1.3,1.9,12.9,1.3,0.537,0.375,0.5429999999999999,74.0,0.703,289,Not MVP,211.0,102.0,1,"$1,312,611"
422,2017,Solomon Hill,71,2374,8.0,6.8,8.1,1.5,1.1,13.3,2.7,0.384,0.348,0.43,128.0,0.805,563,Not MVP,201.0,102.0,4,"$12,236,535"
423,2017,Spencer Dinwiddie,18,1334,12.7,6.5,20.3,1.6,1.3,15.1,2.8,0.444,0.376,0.478,159.0,0.792,432,Not MVP,198.0,90.0,3,"$1,524,305"
424,2017,Spencer Hawes,2,1594,16.33333333,13.83333333,16.76666667,0.833333333,3.0,13.53333333,1.133333333,0.48966666700000006,0.315333333,0.577333333,34.66666667,0.835333333,674,Not MVP,216.0,111.0,10,"$2,007,058"
425,2017,Stanley Johnson,1,1371,7.2,7.5,10.5,2.1,1.5,15.5,0.4,0.353,0.292,0.39799999999999996,53.0,0.679,339,Not MVP,203.0,99.0,2,"$3,097,800"
428,2017,Steven Adams,80,2389,16.5,14.2,5.4,1.8,2.6,16.0,6.4,0.5710000000000001,0.0,0.5720000000000001,257.0,0.611,905,Not MVP,213.0,115.0,4,"$22,471,911"
431,2017,Taj Gibson,142,3978,14.8,12.86666667,5.533333333,1.133333333,2.6,12.03333333,2.7,0.511,0.466,0.514333333,105.33333329999999,0.715666667,1692,Not MVP,206.0,102.0,8,"$14,000,000"
432,2017,Tarik Black,16,1091,15.0,17.1,5.3,1.3,3.3,14.5,2.4,0.51,0.5,0.51,109.0,0.752,383,Not MVP,206.0,113.0,3,"$3,290,000"
435,2017,Terrence Ross,48,3910,13.13333333,5.766666667000001,7.333333333,2.3,1.4,8.466666667,2.333333333,0.436333333,0.35966666700000005,0.519,51.33333333,0.834333333,1716,Not MVP,201.0,93.0,5,"$10,500,000"
436,2017,Terry Rozier,0,1263,10.8,10.0,15.2,1.8,0.7,9.7,1.4,0.36700000000000005,0.318,0.405,66.0,0.773,410,Not MVP,188.0,86.0,2,"$1,988,520"
437,2017,Thabo Sefolosha,42,1596,11.9,9.3,9.9,3.0,1.7,11.9,3.3,0.441,0.342,0.484,75.0,0.733,444,Not MVP,201.0,99.0,11,"$5,250,000"
438,2017,Thaddeus Young,74,2237,14.9,11.3,8.4,2.6,1.2,11.7,4.6,0.527,0.381,0.557,86.0,0.523,814,Not MVP,203.0,100.0,10,"$12,921,348"
440,2017,Thon Maker,34,562,14.0,11.8,6.2,0.9,4.1,7.7,1.3,0.45899999999999996,0.37799999999999995,0.514,49.0,0.653,226,Not MVP,216.0,97.0,1,"$3,086,784"
442,2017,Tim Frazier,35,1525,12.4,6.0,31.4,1.8,0.3,18.0,2.4,0.40299999999999997,0.313,0.446,129.0,0.76,464,Not MVP,185.0,77.0,3,"$2,000,000"
445,2017,Timofey Mozgov,52,1104,12.3,13.1,5.9,0.7,2.3,16.6,1.1,0.515,0.0,0.517,78.0,0.8079999999999999,401,Not MVP,216.0,124.0,7,"$15,280,000"
447,2017,Tobias Harris,48,2567,16.9,8.8,8.8,1.2,1.3,7.6,6.9,0.48100000000000004,0.34700000000000003,0.537,226.0,0.841,1321,Not MVP,190.0,86.0,6,"$16,000,000"
448,2017,Tomas Satoransky,3,719,8.5,6.5,16.7,1.8,0.7,19.1,0.6,0.418,0.243,0.47700000000000004,33.0,0.6970000000000001,154,Not MVP,201.0,95.0,1,"$3,000,000"
450,2017,Tony Allen,66,1914,13.3,11.7,8.4,3.1,1.4,13.3,3.1,0.461,0.278,0.479,130.0,0.615,643,Not MVP,193.0,96.0,13,"$1,471,382"
451,2017,Tony Parker,63,1587,13.0,4.0,27.8,1.1,0.1,12.5,3.0,0.466,0.33299999999999996,0.484,117.0,0.726,638,Not MVP,188.0,83.0,16,"$15,453,126"
452,2017,Tony Snell,80,2336,9.7,6.2,5.9,1.2,0.5,8.8,3.4,0.455,0.406,0.5479999999999999,58.0,0.81,683,Not MVP,201.0,90.0,4,"$9,821,429"
453,2017,Treveon Graham,1,189,10.6,6.4,4.7,1.6,0.5,6.0,0.4,0.475,0.6,0.4,15.0,0.667,57,Not MVP,198.0,99.0,1,"$1,312,611"
454,2017,Trevor Ariza,80,2773,12.3,9.0,8.8,2.5,0.6,8.0,6.0,0.409,0.344,0.556,126.0,0.738,936,Not MVP,203.0,97.0,13,"$7,400,000"
455,2017,Trevor Booker,43,1754,15.7,17.2,12.9,2.1,1.2,16.6,3.1,0.516,0.321,0.546,110.0,0.6729999999999999,709,Not MVP,203.0,103.0,7,"$9,571,137"
456,2017,Trey Burke,0,703,10.8,3.8,20.7,0.8,0.6,15.2,0.5,0.455,0.44299999999999995,0.45899999999999996,29.0,0.759,285,Not MVP,185.0,86.0,4,"$784,159"
457,2017,Trey Lyles,4,1158,10.0,11.7,9.6,1.2,1.4,11.9,0.8,0.36200000000000004,0.319,0.4,79.0,0.722,440,Not MVP,208.0,106.0,2,"$2,441,400"
458,2017,Tristan Thompson,78,2336,15.3,16.9,4.6,0.8,2.9,10.8,7.3,0.6,0.0,0.604,213.0,0.498,630,Not MVP,206.0,107.0,6,"$16,400,000"
459,2017,Troy Daniels,3,1183,10.4,4.8,6.6,0.9,0.3,8.0,1.3,0.374,0.389,0.336,54.0,0.7959999999999999,551,Not MVP,193.0,92.0,4,"$3,408,520"
460,2017,Troy Williams,32,1114,9.766666667,7.533333333,6.8666666670000005,2.166666667,1.466666667,14.5,0.2,0.450666667,0.305,0.544333333,21.33333333,0.704333333,370,Not MVP,198.0,97.0,1,"$1,842,176"
462,2017,Tyler Ennis,4,1176,9.866666667,4.466666667,22.16666667,2.0333333330000003,0.233333333,18.63333333,0.3,0.425,0.38333333299999994,0.44733333299999994,16.66666667,0.790333333,456,Not MVP,190.0,87.0,3,"$1,524,305"
463,2017,Tyler Johnson,0,2178,15.9,7.4,16.6,1.9,1.6,8.8,5.8,0.433,0.37200000000000005,0.46,254.0,0.768,1002,Not MVP,193.0,84.0,3,"$5,821,260"
464,2017,Tyler Ulis,15,1123,13.0,4.6,30.5,2.0,0.4,14.1,0.7,0.42100000000000004,0.266,0.455,71.0,0.775,444,Not MVP,178.0,68.0,1,"$1,312,611"
465,2017,Tyler Zeller,5,525,13.0,13.2,12.2,0.7,3.3,10.2,1.0,0.494,0.0,0.49700000000000005,39.0,0.564,178,Not MVP,213.0,114.0,5,"$1,709,538"
466,2017,Tyreke Evans,12,1576,15.4,9.5,24.96666667,2.166666667,1.066666667,12.83333333,0.46666666700000003,0.40633333299999996,0.36466666700000006,0.425,61.33333333,0.7440000000000001,822,Not MVP,198.0,99.0,8,"$3,290,000"
468,2017,Tyus Jones,0,774,13.8,5.0,28.0,3.1,0.6,16.0,1.5,0.414,0.35600000000000004,0.45399999999999996,43.0,0.767,209,Not MVP,188.0,88.0,2,"$1,471,382"
469,2017,Udonis Haslem,0,130,8.4,15.3,6.4,1.9,0.6,21.3,0.2,0.478,0.0,0.55,15.0,0.6,31,Not MVP,203.0,106.0,14,"$2,328,652"
470,2017,Victor Oladipo,67,2222,13.6,7.2,12.5,1.7,0.8,10.6,4.0,0.442,0.361,0.491,154.0,0.753,1067,Not MVP,193.0,95.0,4,"$21,000,000"
471,2017,Vince Carter,15,1799,11.7,7.2,11.5,1.7,1.9,8.5,4.0,0.39399999999999996,0.37799999999999995,0.418,115.0,0.765,586,Not MVP,198.0,99.0,19,"$8,000,000"
472,2017,Wade Baldwin,1,405,6.4,6.5,22.8,2.3,1.7,23.4,-0.4,0.313,0.136,0.355,37.0,0.838,106,Not MVP,193.0,91.0,1,"$2,179,292"
473,2017,Wayne Ellington,13,1500,12.6,4.9,7.1,1.2,0.2,5.0,3.3,0.41600000000000004,0.37799999999999995,0.509,43.0,0.86,648,Not MVP,193.0,90.0,8,"$6,270,000"
474,2017,Wayne Selden,10,472,7.7,4.233333333,7.1333333329999995,1.5,0.3,17.33333333,0.066666667,0.485333333,0.321333333,0.728666667,14.66666667,0.601,142,Not MVP,196.0,104.0,1,"$1,312,611"
475,2017,Wesley Johnson,3,810,8.4,12.5,3.9,1.8,3.0,8.0,0.9,0.365,0.24600000000000002,0.537,17.0,0.647,186,Not MVP,201.0,97.0,7,"$5,881,260"
476,2017,Wesley Matthews,73,2495,11.9,6.0,13.6,1.6,0.6,9.9,3.1,0.39299999999999996,0.363,0.43200000000000005,179.0,0.816,986,Not MVP,185.0,77.0,8,"$17,884,175"
477,2017,Will Barton,19,1705,15.5,8.4,17.7,1.4,1.3,11.5,3.3,0.44299999999999995,0.37,0.483,190.0,0.753,820,Not MVP,198.0,79.0,5,"$3,533,333"
478,2017,Willie Cauley-Stein,21,1421,16.4,13.8,9.4,1.9,2.9,11.2,3.0,0.53,0.0,0.532,151.0,0.669,611,Not MVP,213.0,108.0,2,"$3,704,160"
479,2017,Willie Reed,5,1031,17.1,17.8,3.9,0.9,3.6,8.7,3.6,0.568,0.25,0.573,88.0,0.557,374,Not MVP,206.0,106.0,2,"$1,471,382"
480,2017,Willy Hernangomez,22,1324,18.9,20.4,11.5,1.5,2.2,16.1,3.4,0.529,0.267,0.5379999999999999,125.0,0.728,587,Not MVP,211.0,108.0,1,"$1,435,750"
481,2017,Wilson Chandler,33,2197,14.9,11.5,9.8,1.2,1.1,10.0,3.6,0.461,0.337,0.527,194.0,0.727,1117,Not MVP,203.0,102.0,9,"$12,016,854"
482,2017,Yogi Ferrell,58,2394,11.23333333,5.0,21.4,1.466666667,0.7666666670000001,15.6,1.2,0.395,0.36166666700000005,0.431666667,59.33333333,0.777666667,924,Not MVP,183.0,81.0,1,"$1,312,611"
483,2017,Zach LaVine,47,1749,14.6,5.3,12.6,1.2,0.5,9.9,3.0,0.45899999999999996,0.387,0.515,140.0,0.836,889,Not MVP,196.0,85.0,3,"$3,202,217"
484,2017,Zach Randolph,5,1786,18.5,19.1,13.5,1.1,0.5,8.6,3.2,0.449,0.223,0.474,193.0,0.731,1028,Not MVP,206.0,117.0,16,"$12,307,692"
485,2017,Zaza Pachulia,70,1268,16.1,17.7,13.6,2.2,2.0,19.5,4.7,0.534,0.0,0.5379999999999999,126.0,0.778,426,Not MVP,211.0,122.0,14,"$3,477,600"
